avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume
3.424M,-4.39,Berkshire Hathaway Inc.,401.5635,868481433600,9.07,-1.08%,Financial Services,BRK-B,557612
8.914M,-1.69,JPMorgan Chase & Co.,191.39,549689327616,11.55,-0.88%,Financial Services,JPM,1501706
6.041M,-4.25,Visa Inc.,270.77,554022469632,30.29,-1.55%,Financial Services,V,736384
2.41M,-5.07,Mastercard Incorporated,457.4318,426734485504,38.63,-1.10%,Financial Services,MA,378647
40.791M,-0.77,Bank of America Corporation,37.55,295400964096,12.95,-2.01%,Financial Services,BAC,5972380
19.164M,-0.38,Wells Fargo & Company,60.215,210853675008,12.54,-0.64%,Financial Services,WFC,2287970
3.265M,-3.33,American Express Company,235.7883,169603219456,19.41,-1.39%,Financial Services,AXP,506859
8.377M,-2.07,Morgan Stanley,91.78,149292105728,16.69,-2.21%,Financial Services,MS,714208
2.401M,-5.36,"The Goldman Sachs Group, Inc.",417.68,135548436480,16.26,-1.27%,Financial Services,GS,307710
16.14M,-1.13,Citigroup Inc.,61.34,116999913472,17.88,-1.81%,Financial Services,C,2763816
3.673M,-3.44,Blackstone Inc.,120.335,146534350848,42.52,-2.78%,Financial Services,BX,466120
7.292M,-0.99,The Charles Schwab Corporation,74.2,135559684096,31.05,-1.32%,Financial Services,SCHW,664687
1.137M,-0.99,Royal Bank of Canada,96.28,136555847680,12.25,-1.02%,Financial Services,RY,103468
1.433M,-4.09,S&P Global Inc.,409.19,131045957632,49.78,-0.99%,Financial Services,SPGI,442888
2.694M,-2.15,The Progressive Corporation,210.05,123023982592,21.52,-1.01%,Financial Services,PGR,188042
"624,719",-12.33,"BlackRock, Inc.",750.465,111639175168,19.07,-1.62%,Financial Services,BLK,89112
2.91M,-0.36,The Toronto-Dominion Bank,58.305,103371849728,12.62,-0.62%,Financial Services,TD,325724
1.701M,+0.62,Chubb Limited,243.63,98921816064,10.83,+0.26%,Financial Services,CB,222113
1.702M,-1.29,"Marsh & McLennan Companies, Inc.",199.655,98374811648,25.34,-0.64%,Financial Services,MMC,124303
3.685M,-2.20,KKR & Co. Inc.,94.57,84117086208,23.12,-2.27%,Financial Services,KKR,495822
1.713M,+2.80,CME Group Inc.,215.39,77546430464,24.28,+1.32%,Financial Services,CME,225376
2.445M,-1.78,"Intercontinental Exchange, Inc.",130.79,74998775808,31.21,-1.34%,Financial Services,ICE,377222
"734,180",-6.95,Moody's Corporation,374.255,68324741120,42.87,-1.83%,Financial Services,MCO,108169
14.741M,-1.70,"PayPal Holdings, Inc.",63.14,66463690752,16.44,-2.62%,Financial Services,PYPL,2164998
8.522M,-1.11,U.S. Bancorp,40.5,63180001280,13.46,-2.67%,Financial Services,USB,1030930
2.366M,-2.08,"Apollo Global Management, Inc.",110.645,62864175104,13.36,-1.84%,Financial Services,APO,98882
2.099M,-3.19,"The PNC Financial Services Group, Inc.",154.87,61645537280,12.99,-2.02%,Financial Services,PNC,184878
"930,211",-3.83,Aon plc,305,60528779264,24.38,-1.24%,Financial Services,AON,66259
2.667M,-3.40,Capital One Financial Corporation,145.47,55335624704,12.17,-2.28%,Financial Services,COF,340579
13.127M,-2.25,"Coinbase Global, Inc.",222.12,53814124544,617.00,-1.00%,Financial Services,COIN,1821997
3.431M,-0.86,"MetLife, Inc.",71.855,51952607232,39.70,-1.19%,Financial Services,MET,258515
30.052M,+0.00,Nu Holdings Ltd.,10.775,51353006080,51.31,+0.05%,Financial Services,NU,2390664
"871,722",-2.35,Arthur J. Gallagher & Co.,234.4575,51182780416,52.92,-0.99%,Financial Services,AJG,40667
9.712M,-0.95,Truist Financial Corporation,37.84,50633703424,,-2.45%,Financial Services,TFC,741546
4.049M,-0.64,"American International Group, Inc.",74.335,50104168448,14.93,-0.85%,Financial Services,AIG,214802
1.026M,+0.79,"Interactive Brokers Group, Inc.",116.43,48528023552,41.04,+0.68%,Financial Services,IBKR,92125
19.166M,+0.30,Walmart Inc.,60.165,484812587008,31.50,+0.49%,Consumer Defensive,WMT,1671686
1.437M,-1.83,"The Travelers Companies, Inc.",211.6,48454918144,15.71,-0.86%,Financial Services,TRV,102765
2.435M,-0.69,Aflac Incorporated,83.59,48098353152,10.74,-0.82%,Financial Services,AFL,126207
1.693M,-0.30,The Allstate Corporation,171.97,45358637056,,-0.17%,Financial Services,ALL,118503
3.754M,-0.51,The Bank of New York Mellon Corporation,57.02,42640470016,14.26,-0.89%,Financial Services,BK,395958
1.092M,-2.22,Ares Management Corporation,133.725,41422123008,55.26,-1.64%,Financial Services,ARES,79196
"480,411",-8.25,"Ameriprise Financial, Inc.",404.605,40537780224,13.76,-2.00%,Financial Services,AMP,61141
1.579M,-1.71,"Prudential Financial, Inc.",111.05,39909150720,16.48,-1.52%,Financial Services,PRU,69298
"553,822",+1.28,MSCI Inc.,465.93,36912930816,31.83,+0.28%,Financial Services,MSCI,232713
1.718M,-0.56,Arch Capital Group Ltd.,92.635,34751557632,7.97,-0.60%,Financial Services,ACGL,58412
3.331M,-2.50,"Nasdaq, Inc.",59,33969778688,28.37,-4.07%,Financial Services,NDAQ,1679026
2.087M,-2.75,Discover Financial Services,126.27,31638841344,14.37,-2.13%,Financial Services,DFS,122466
6.505M,-0.19,The Procter & Gamble Company,162.41,383310364672,26.58,-0.12%,Consumer Defensive,PG,1470479
2.044M,-4.78,Costco Wholesale Corporation,717.95,318413701120,47.02,-0.66%,Consumer Defensive,COST,213022
14.229M,+0.28,The Coca-Cola Company,61.825,266539319296,25.03,+0.45%,Consumer Defensive,KO,4478235
6.025M,+0.25,"PepsiCo, Inc.",177.66,244245200896,26.76,+0.14%,Consumer Defensive,PEP,1832470
6.094M,-1.85,Philip Morris International Inc.,97.17,151055630336,18.98,-1.87%,Consumer Defensive,PM,859515
8.574M,-0.49,"Mondelez International, Inc.",70.815,95255379968,19.56,-0.69%,Consumer Defensive,MDLZ,4106480
3.838M,-1.50,Target Corporation,163.835,75640979456,18.33,-0.91%,Consumer Defensive,TGT,235251
12.832M,-0.02,"Altria Group, Inc.",42.895,73677733888,9.39,-0.06%,Consumer Defensive,MO,2770743
4.403M,+0.19,Colgate-Palmolive Company,89.065,73210183680,32.15,+0.22%,Consumer Defensive,CL,1111002
