,Unnamed: 0,avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume,Apr_1_2024,Mar_1_2024,Feb_1_2024,Jan_1_2024,Dec_1_2023,Nov_1_2023,Oct_1_2023,Sep_1_2023,Aug_1_2023,Jul_1_2023,Jun_1_2023,May_1_2023,Apr_1_2023,Mar_1_2023,Feb_1_2023,Jan_1_2023,Dec_1_2022,Nov_1_2022,Oct_1_2022,Sep_1_2022,Aug_1_2022,Jul_1_2022,Jun_1_2022,May_1_2022,Apr_1_2022,Mar_1_2022,Feb_1_2022,Jan_1_2022,Dec_1_2021,Nov_1_2021,Oct_1_2021,Sep_1_2021,Aug_1_2021,Jul_1_2021,Jun_1_2021,May_1_2021,Apr_1_2021,Mar_1_2021,Feb_1_2021,Jan_1_2021,Dec_1_2020,Nov_1_2020,Oct_1_2020,Sep_1_2020,Aug_1_2020,Jul_1_2020,Jun_1_2020,May_1_2020,Apr_1_2020,Mar_1_2020,Feb_1_2020,Jan_1_2020,Dec_1_2019,Nov_1_2019,Oct_1_2019,Sep_1_2019,Aug_1_2019,Jul_1_2019,Jun_1_2019,May_1_2019,3m_change,3m_rolling_avg,3m_volatility,6m_change,6m_rolling_avg,6m_volatility,12m_change,12m_rolling_avg,12m_volatility,recommendation
0,0,3.424M,-4.39,Berkshire Hathaway Inc.,401.5635,868481433600,9.07,-1.08%,Financial Services,BRK-B,557612,408.78,420.52,409.4,383.74,356.66,360.0,341.33,350.3,360.2,351.96,341.0,321.08,328.55,308.77,305.18,311.52,308.9,318.6,295.09,267.02,280.8,300.6,273.02,315.98,322.83,352.91,321.45,313.02,299.0,276.69,287.01,272.94,285.77,278.29,277.92,289.44,274.95,255.47,240.51,227.87,231.87,228.91,201.9,212.94,218.04,195.78,178.51,185.58,187.36,182.83,206.34,224.43,226.5,220.3,212.58,208.02,203.41,205.43,213.17,197.42,-0.15144113336590245,412.8999999999999,5.394095537406313,13.549999999999992,389.84999999999997,24.870085779238195,27.314065030521984,367.0808333333334,30.053716480754176,Sell
1,1,8.914M,-1.69,JPMorgan Chase & Co.,191.39,549689327616,11.55,-0.88%,Financial Services,JPM,1501706,189.41,200.3,186.06,174.36,170.1,156.08,139.06,145.02,146.33,157.96,145.44,135.71,138.24,130.31,143.35,139.96,134.1,138.18,125.88,104.5,113.73,115.36,112.61,132.23,119.36,136.32,141.8,148.6,158.35,158.83,169.89,163.69,159.95,151.78,155.54,164.24,153.81,152.23,147.17,128.67,127.07,117.88,98.04,96.27,100.19,96.64,94.06,97.31,95.76,90.03,116.11,132.36,139.4,131.76,124.92,117.69,109.86,116.0,111.8,105.96,1.8004944641513458,191.92333333333332,6.079036838915269,21.354433623782665,179.385,14.358959746444029,39.5696706211775,162.1525,20.599475772051417,Sell
2,2,6.041M,-4.25,Visa Inc.,270.77,554022469632,30.29,-1.55%,Financial Services,V,736384,272.33,279.08,282.64,273.26,260.35,256.68,235.1,230.01,245.68,237.73,237.48,221.03,232.73,225.46,219.94,230.21,207.76,217.0,207.16,177.65,198.71,212.11,196.89,212.17,213.13,221.77,216.12,226.17,216.71,193.77,211.77,222.75,229.1,246.39,233.82,227.3,233.56,211.73,212.39,193.25,218.73,210.35,181.71,199.97,211.99,190.4,193.17,195.24,178.72,161.12,181.76,198.97,187.9,184.51,178.86,172.01,180.82,178.0,173.55,161.33,-3.6477497877158234,278.01666666666665,4.275670187883481,6.097085865669307,270.7233333333333,9.360182809230919,23.20951906980952,252.61416666666665,20.01509366217294,Buy
3,3,2.41M,-5.07,Mastercard Incorporated,457.4318,426734485504,38.63,-1.10%,Financial Services,MA,378647,456.75,481.57,474.76,449.23,426.51,413.83,376.35,395.91,412.64,394.28,393.3,365.02,380.03,363.41,355.29,370.6,347.73,356.4,328.18,284.34,324.37,353.79,315.48,357.87,363.38,357.38,360.82,386.38,359.32,314.92,335.52,347.68,346.23,385.94,365.09,360.58,382.06,356.05,353.85,316.29,356.94,336.51,288.64,338.17,358.19,308.53,295.7,300.89,274.97,241.56,290.25,315.94,298.59,292.23,276.81,271.57,281.37,272.27,264.53,251.49,-3.793495660965539,471.02666666666664,10.470957719117937,10.371408549404348,450.4416666666666,24.203155728586765,25.130129855898314,420.0125,36.52847522253472,Sell
7,7,8.377M,-2.07,Morgan Stanley,91.78,149292105728,16.69,-2.21%,Financial Services,MS,714208,92.09,94.16,86.04,87.24,93.25,79.34,70.82,81.67,85.15,91.56,85.4,81.76,89.97,87.8,96.5,97.33,85.02,93.07,82.17,79.01,85.22,84.3,76.06,86.14,80.59,87.4,90.74,102.54,98.16,94.82,102.78,97.31,104.43,95.98,91.69,90.95,82.55,77.66,76.87,67.05,68.53,61.83,48.15,48.35,52.26,48.88,48.3,44.2,39.43,34.0,45.03,52.26,51.12,49.48,46.05,42.67,41.49,44.56,43.81,40.69,7.031613203161316,90.76333333333334,3.4451544071186224,16.070078144693724,88.68666666666667,5.144931702386554,12.634540117416826,85.70666666666666,6.45660815667862,Buy
11,11,7.292M,-0.99,The Charles Schwab Corporation,74.2,135559684096,31.05,-1.32%,Financial Services,SCHW,664687,74.26,72.34,66.78,62.92,68.8,61.32,52.04,54.9,59.15,66.1,56.68,52.69,52.24,52.38,77.92,77.42,83.26,82.54,79.67,71.87,70.95,69.05,63.18,70.1,66.33,84.31,84.46,87.7,84.1,77.39,82.03,72.84,72.85,67.95,72.81,73.85,70.4,65.18,61.72,51.54,53.04,48.78,41.11,36.23,35.53,33.15,33.74,35.91,37.72,33.62,40.75,45.55,47.56,49.5,40.71,41.83,38.27,43.22,40.19,41.61,11.200958370769696,71.12666666666668,3.171932463902024,21.102413568167,67.73666666666666,4.657687790691382,40.93755930916684,62.33166666666667,7.163698804078488,Buy
12,12,1.137M,-0.99,Royal Bank of Canada,96.28,136555847680,12.25,-1.02%,Financial Services,RY,103468,99.2,100.88,97.08,97.61,101.13,90.4,79.88,87.44,90.1,99.13,95.51,89.48,99.31,95.58,101.48,102.36,94.02,99.78,92.47,90.04,93.04,97.51,96.82,104.48,101.03,110.27,110.42,114.04,106.14,99.03,104.01,99.48,102.76,101.14,101.31,103.99,95.4,92.21,85.09,80.87,82.06,81.98,69.99,70.14,76.12,69.09,67.8,64.85,61.59,61.55,74.47,78.96,79.2,81.75,80.66,81.16,74.76,78.91,79.4,75.15,2.183765966213437,99.05333333333333,1.5548061686982784,9.73451327433628,97.71666666666665,3.601114025162519,10.862762628520338,93.98666666666666,6.240546628479128,Buy
13,13,1.433M,-4.09,S&P Global Inc.,409.19,131045957632,49.78,-0.99%,Financial Services,SPGI,442888,416.93,425.45,428.38,448.35,440.52,415.83,349.31,365.41,390.86,394.51,400.89,367.43,362.58,344.77,341.2,374.94,334.94,352.8,321.25,305.35,352.18,376.93,337.06,349.48,376.5,410.18,375.7,415.22,471.93,455.73,474.16,424.89,443.82,428.72,410.45,379.47,390.39,352.87,329.36,317.0,328.73,351.78,322.73,360.6,366.42,350.25,329.48,325.02,292.88,245.05,265.91,293.73,273.05,264.65,257.99,244.98,260.19,244.95,227.79,213.88,-2.6728605443764852,423.58666666666664,4.856585448874771,0.2645311786066476,429.24333333333334,11.824398034948292,13.471953841548052,403.6558333333334,29.931551206693058,Hold
16,16,2.91M,-0.36,The Toronto-Dominion Bank,58.305,103371849728,12.62,-0.62%,Financial Services,TD,325724,58.56,60.38,60.0,60.73,64.62,60.99,55.84,60.26,61.01,65.94,62.01,56.6,60.63,59.9,66.55,69.22,64.76,66.74,63.99,61.33,64.34,64.97,65.58,76.27,72.24,79.42,80.69,80.03,76.68,72.06,72.51,66.15,64.94,66.45,70.05,72.1,68.75,65.21,60.37,56.59,56.42,53.73,44.23,46.24,49.86,44.28,44.61,42.8,41.77,42.39,51.61,55.26,56.13,57.8,57.07,58.26,54.19,58.44,58.36,54.65,-2.3999999999999964,59.64666666666667,0.7838934167913956,-3.9842597147073286,60.879999999999995,1.845219047520737,3.4628975265017683,60.578333333333326,2.7437621171587656,Hold
17,17,1.701M,0.62,Chubb Limited,243.63,98921816064,10.83,+0.26%,Financial Services,CB,222113,251.5,259.13,251.67,245.0,226.0,229.43,214.62,208.18,200.87,204.41,192.56,185.8,201.56,194.18,211.02,227.49,220.6,219.59,214.89,181.88,189.05,188.64,196.58,211.29,206.45,213.9,203.64,197.28,193.31,179.47,195.38,173.48,183.92,168.74,158.94,169.99,171.59,157.97,162.58,145.67,153.92,147.83,129.91,116.12,125.0,127.24,126.62,121.94,108.01,111.69,145.03,151.99,155.66,151.48,152.42,161.44,156.28,152.84,147.29,146.07,-0.06754877418841639,254.1,3.5574241617589926,9.619491783986398,243.78833333333333,12.11756220899603,35.36060279870828,222.43083333333334,23.989005626999678,Buy
